법정동명,매출(만원),업소수,유동인구,직장인 평균소득(만원),상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,반경내_가게수,지하철유동인구수
삼덕동1가,"3,917",55.0,"23,695",319.0,MA010120220802268797,프렌즈클럽,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110545,삼덕동,2711010500,2711010500100310014,1,대지,31.0,14.0,대구광역시 중구 삼덕동1가 31-14,271104223085.0,대구광역시 중구 동성로3길,12.0,11.0,2711010500100310014007653,,대구광역시 중구 동성로3길 12-11,700411,41942,,1,,128.597938017755,35.8658431032889,1,5762
동성로2가,"5,095",20.0,"23,717",301.0,MA010120220802672440,코디,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711012300,2711012300100410008,1,대지,41.0,8.0,대구광역시 중구 동성로2가 41-8,271103007001.0,대구광역시 중구 국채보상로,580.0,,2711011500100170008000001,대현프리몰,대구광역시 중구 국채보상로 580,700092,41909,,,,128.59519659058,35.8709131331061,0,34054
삼덕동1가,"3,917",55.0,"23,695",319.0,MA010120220802673183,디애나,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110545,삼덕동,2711010500,2711010500100350002,1,대지,35.0,2.0,대구광역시 중구 삼덕동1가 35-2,271104223085.0,대구광역시 중구 동성로3길,12.0,10.0,2711010500100350006008862,,대구광역시 중구 동성로3길 12-10,700411,41942,,1,,128.597825599146,35.865618332094,1,5762
봉산동,"1,850",41.0,"63,377",311.0,MA010120220803011007,베이지무드,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711010800,2711010800100210005,1,대지,21.0,5.0,대구광역시 중구 봉산동 21-5,271104223084.0,대구광역시 중구 동성로2길,16.0,,2711010800100210005009039,,대구광역시 중구 동성로2길 16,700822,41942,,,,128.596338560681,35.8666622429803,1,34054
삼덕동1가,"3,917",55.0,"23,695",319.0,MA010120220803104356,블루마린,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110545,삼덕동,2711010500,2711010500100280026,1,대지,28.0,26.0,대구광역시 중구 삼덕동1가 28-26,271104223085.0,대구광역시 중구 동성로3길,38.0,,2711010500100280026007762,,대구광역시 중구 동성로3길 38,700411,41942,,,,128.597836158545,35.8670243424937,1,5762
계산동2가,"2,244",141.0,"36,293",313.0,MA010120220803095596,린,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711013900,2711013900102000000,1,대지,200.0,,대구광역시 중구 계산동2가 200,271102007002.0,대구광역시 중구 달구벌대로,2077.0,,2711013900102000000000001,현대백화점,대구광역시 중구 달구벌대로 2077,700082,41936,,3,,128.590635683154,35.8666363344097,0,11546
봉산동,"1,850",41.0,"63,377",311.0,MA010120220803040977,바코드,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711010800,2711010800101320014,1,대지,132.0,14.0,대구광역시 중구 봉산동 132-14,271104223107.0,대구광역시 중구 봉산문화2길,38.0,,2711010800101320014027416,,대구광역시 중구 봉산문화2길 38,700823,41959,,1,,128.596993856578,35.8639730473162,1,34054
계산동2가,"2,244",141.0,"36,293",313.0,MA010120220803020598,메지스현대,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711013900,2711013900102000000,1,대지,200.0,,대구광역시 중구 계산동2가 200,271102007002.0,대구광역시 중구 달구벌대로,2077.0,,2711013900102000000000001,현대백화점,대구광역시 중구 달구벌대로 2077,700082,41936,,3,,128.590635683154,35.8666363344097,0,11546
계산동2가,"2,244",141.0,"36,293",313.0,MA010120220803024219,질샌더,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711013900,2711013900102000000,1,대지,200.0,,대구광역시 중구 계산동2가 200,271102007002.0,대구광역시 중구 달구벌대로,2077.0,,2711013900102000000000001,현대백화점,대구광역시 중구 달구벌대로 2077,700082,41936,,4,,128.590635683154,35.8666363344097,0,11546
봉산동,"1,850",41.0,"63,377",311.0,MA010120220802999020,미엔느나인,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27110,중구,27110565,성내1동,2711010800,2711010800100030001,1,대지,3.0,1.0,대구광역시 중구 봉산동 3-1,271104223084.0,대구광역시 중구 동성로2길,21.0,7.0,2711010800100030001008926,,대구광역시 중구 동성로2길 21-7,700822,41942,,,,128.59591988738,35.8669437302813,1,34054
